Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
2765,2765,0,-2251620,-2203466,-1909668,-2221293,1
2766,2766,0,-2251620,-2189812,-2269539,-2221293,1
2767,2767,0,-2460243,-2189812,-2269539,-2207412,1
2768,2768,0,-2460243,-2165708,-2480302,-2207412,1
2769,2769,0,-2139513,-2165708,-2480302,-2183071,1
2770,2770,0,-2139513,-2219558,-2156437,-2183071,1
2771,2771,0,-2261644,-2219558,-2156437,-2237365,1
2772,2772,0,-2261644,-2186573,-2280127,-2237365,1
2773,2773,0,-2038001,-2186573,-2280127,-2203987,1
2774,2774,0,-2038001,-2278255,-2054133,-2203987,1
2775,2775,0,-1966076,-2278255,-2054133,-2296602,1
2776,2776,0,-1966076,-2224851,-1981217,-2296602,1
2777,2777,0,-2321094,-2224851,-1981217,-2242750,1
2778,2778,0,-2321094,-2101309,-2339275,-2242750,1
2779,2779,0,-2181027,-2101309,-2339275,-2117979,1
2780,2780,0,-2181027,-2146704,-2199023,-2117979,1
2781,2781,0,-2609207,-2146704,-2199023,-2163688,1
2782,2782,0,-2609207,-2126550,-2630880,-2163688,1
2783,2783,0,-2291532,-2126550,-2630880,-2143412,1
2784,2784,0,-2291532,-2269351,-2310511,-2143412,1
2785,2785,0,-1983569,-2269351,-2310511,-2287599,1
2786,2786,0,-1983569,-2350715,-1999050,-2287599,1
2787,2787,0,-1888252,-2350715,-1999050,-2369923,1
2788,2788,0,-1888252,-2266334,-1903033,-2369923,1
2789,2789,0,-2762741,-2266334,-1903033,-2284866,1
2790,2790,0,-2762741,-2193140,-2785734,-2284866,1
2791,2791,0,-2329849,-2193140,-2785734,-2210869,1
2792,2792,0,-2329849,-2231524,-2348884,-2210869,1
2793,2793,0,-2168390,-2231524,-2348884,-2249582,1
2794,2794,0,-2168390,-2241103,-2184770,-2249582,1
2795,2795,0,-2790552,-2241103,-2184770,-2259176,1
2796,2796,0,-2790552,-2287308,-2814326,-2259176,1
2797,2797,0,-1641844,-2287308,-2814326,-2305606,1
2798,2798,0,-1641844,-2512883,-1654510,-2305606,1
2799,2799,0,-2316578,-2512883,-1654510,-2533429,1
2800,2800,0,-2316578,-2232659,-2334869,-2533429,1
2801,2801,0,-2896101,-2232659,-2334869,-2250623,1
2802,2802,0,-2896101,-2229341,-2920453,-2250623,1
2803,2803,0,-2484182,-2229341,-2920453,-2247119,1
2804,2804,0,-2484182,-2411269,-2504689,-2247119,1
2805,2805,0,-2341610,-2411269,-2504689,-2431040,1
2806,2806,0,-2341610,-2334677,-2360510,-2431040,1
2807,2807,0,-2926652,-2334677,-2360510,-2353631,1
2808,2808,0,-2926652,-2509618,-2951189,-2353631,1
2809,2809,0,-2081939,-2509618,-2951189,-2530131,1
